accountID,transactionDate,transactionTime,accountOwnerName,accountAddress,accountPostalCode,accountCity,accountState,accountCountry,accountOpenDate,accountAge,isUserRegistered,paymentInstrumentAgeInAccount,numPaymentRejects1dPerUser
A1688852564389340,20130401,2932,,,30170-000,,MG,BR,,1,FALSE,0.000694444,0
A985156162171434,20130401,3005,,,da11 9ps,,England,GB,,61,TRUE,55.49097222,0
A844427191626038,20130401,12302,,,4671,,Queensland,AU,,1,FALSE,0.002083333,0
A362015581825370,20130401,12446,,,-,,,PE,,1,FALSE,0,0
A1829581577560200,20130401,13308,,,3780000,,chillan,CL,,1,FALSE,0,0
A1688852326191020,20130401,24226,,,05374-110,,SP,BR,,1,FALSE,0,0
A1899945418273890,20130401,35757,,,-,,,HK,,1,FALSE,0.002083333,0
A1829581272763560,20130401,44027,,,2830,,NSW,AU,,1527,FALSE,0.0875,0
A1055521353133300,20130401,50418,,,814,,Northern Territory,AU,,62,FALSE,61.66388889,0
A985156413406942,20130401,52330,,,6010,,WA,AU,,1234,TRUE,0,0
A914800593116839,20130401,51639,,,2133,,New South Wales,AU,,1,FALSE,0.002083333,0
A844427300208404,20130401,51710,,,K9V4Z3,,ON,CA,,1,FALSE,0.001388889,0
A844427447576970,20130401,55002,,,2136,,,AT,,1,TRUE,0,0
A914800991904424,20130401,64148,,,-,,,HK,,1,FALSE,0,0
A844428028616124,20130401,74441,,,22767,,,DE,,1,FALSE,0.515277778,0
A1829582573320720,20130401,74729,,,380-812,,Chungcheongbuk-do,KR,,1,FALSE,0.071527778,0
A402975256583509,20130401,75713,,,-,,,HK,,1,FALSE,0,0
A1055521147037390,20130401,90333,,,4930,,,DK,,1,FALSE,0,0
A1688852409209700,20130401,83834,,,9240,,,DK,,1,FALSE,0,0
A1688853625147130,20130401,90410,,,258508,,,SG,,62,FALSE,61.51041667,0
A844427083459511,20130401,85031,,,SW11 4GA,,,GB,,49,TRUE,48.91041667,0
A844427999237695,20130401,90822,,,510700,,,SG,,1,TRUE,0,0
A1829581779205440,20130401,95523,,,93300,,,FR,,1,FALSE,0,0
A1055521378973100,20130401,100827,,,7700,,,BE,,1,FALSE,0,0
A914800991986652,20130401,102043,,,2034,,,CH,,1,FALSE,0.000694444,0
A844427496207396,20130401,102817,,,3540,,,DK,,1,FALSE,0,0
A1055521378952000,20130401,104612,,,41310,,,FI,,1,FALSE,0,0
A844428018802877,20130401,104013,,,3738 CC,,,NL,,1,FALSE,0,0
A1899946989228830,20130401,110117,,,107-8420,,???,JP,,35,FALSE,34.37291667,0
A1055521331524920,20130401,105828,,,13200,,,IL,,1,FALSE,0.000694444,0
A844428028925573,20130401,110058,,,58703,,,GU,,1,FALSE,0,0
A1055520617176820,20130401,111629,,,CV5 6PJ,,,GB,,1,FALSE,0,0
A1055521365915720,20130401,110130,,,52525,,,DE,,1,FALSE,0,0
A844427881044162,20130401,112411,,,2200,,,DK,,1,FALSE,0,0
A844427162394611,20130401,112726,,,78000,,State,FR,,2000,FALSE,0,0
A1688852301079770,20130401,111445,,,RH2 9DB,,,GB,,115,TRUE,114.0736111,0
A914800991496377,20130401,114338,,,3721,,,AT,,1,FALSE,0,0
A1055521379028590,20130401,120715,,,35457,,,DE,,1,FALSE,0.000694444,0
A388198543437453,20130401,120756,,,L4H0C5,,ON,CA,,39,FALSE,21.62430556,0
A985155984398492,20130401,120200,,,30594,,,SE,,1,FALSE,0,0
A914800621456891,20130401,124007,,,6323,,,AT,,724,FALSE,0,0
A985156977883983,20130401,123325,,,2746,,,CH,,1,FALSE,0,0
A1688853227555830,20130401,123654,,,95410,,,FR,,1,FALSE,0,0
A985156980737787,20130401,124827,,,13006,,,FR,,1,FALSE,0,0
A363391717956137,20130401,125754,,,0,,,IE,,1,FALSE,0,0
A1055521379054530,20130401,125304,,,4330,,,DK,,1,FALSE,0,0
A1688852022097760,20130401,124730,,,-,,,HK,,1,FALSE,0,0
A1829582580135470,20130401,130301,,,98052,,WA,US,,1,FALSE,0.000694444,0
A1759221478701000,20130401,130744,,,89885-000,,SC,BR,,1,FALSE,0,0
A844427623552580,20130401,130601,,,CF83 1GG,,,GB,,1,FALSE,0,0
A844427706194004,20130401,132217,,,75015,,,FR,,1,FALSE,0,0
A985156237052255,20130401,132230,,,G6Z 1P9,,QC,CA,,170,FALSE,0.002083333,0
A1055520995082420,20130401,132529,,,685,,,NO,,122,FALSE,76.56041667,0
A1829581415269570,20130401,131043,,,68635,,,SE,,1,FALSE,0,0
A1055521303610730,20130401,131806,,,2336,,,HU,,1,FALSE,0,0
A844427099038593,20130401,133719,,,L5N2X4,,ON,CA,,1,FALSE,0.002083333,0
A1055521347937850,20130401,132909,,,85049,,,DE,,72,FALSE,12.0125,0
A423319053415128,20130401,132806,,,133-121,,??,KR,,1,FALSE,0,0
A1055521379074670,20130401,134945,,,344065,,?????????? ???.,RU,,1,FALSE,0,0
A1688853605809880,20130401,140824,,,63599,,,DE,,98,FALSE,0,0
A985156929582059,20130401,140648,,,5810,,,FI,,119,FALSE,99.03541667,0
A985156980780892,20130401,142538,,,43036,,Parma,IT,,1,FALSE,0,0
A844428029018213,20130401,142452,,,14444,,,SE,,1,FALSE,0,0
A1055521377928090,20130401,143716,,,21244,,,DE,,1,FALSE,0.019444444,0
A1055521378078490,20130401,143955,,,84073,,,SE,,1,FALSE,0,0
A1829582322652720,20130401,145734,,,127204,,,RU,,212,FALSE,65.02847222,0
A914800992097004,20130401,150224,,,640610,,,SG,,1,FALSE,0,0
A985156980804075,20130401,151000,,,TW12 2HR,,,GB,,1,FALSE,0.000694444,0
A363322324966877,20130401,151117,,,N6H4M4,,ON,CA,,1,TRUE,0,0
A844427796273970,20130401,151308,,,V2J 5Z8,,BC,CA,,256,FALSE,255.7930556,0
A985156073931398,20130401,153806,,,K1N5E5,,ON,CA,,1,FALSE,0,0
A1829582183229830,20130401,153021,,,67300,,,FR,,1,FALSE,0.002083333,0
A914800992048871,20130401,155313,,,9204,,,CH,,1,FALSE,0,0
A311265535284441,20130401,155926,,,-,,,IE,,1,FALSE,0,0
A1899945791011240,20130401,155856,,,H2S 2Y2,,QC,CA,,1,FALSE,0,0
A1688853638847780,20130401,160902,,,SL6 1DU,,GR,GB,,38,FALSE,37.87916667,0
A1899945384724640,20130401,160511,,,530660,,,SG,,18,FALSE,0,0
A1899945713220310,20130401,155921,,,05045-020,,SP,BR,,4,FALSE,2.715277778,0
A1759221002956830,20130401,161513,,,-,,,IE,,609,FALSE,0.039583333,0
A985156980843235,20130401,163048,,,31600,,,FR,,1,FALSE,0,0
A1829581465677640,20130401,165759,,,8800,,,DK,,1,FALSE,0,0
A564049466780826,20130401,170654,,,SW18 1AA,,England,GB,,674,FALSE,219.7284722,0
A914800992162452,20130401,170805,,,2500,,,DK,,1,FALSE,0.000694444,0
A1899945803445960,20130401,171645,,,5000-557,,,PT,,1,FALSE,0.001388889,0
A985156962663754,20130401,170640,,,11514,,,SA,,40,FALSE,39.49652778,0
A1829581539665790,20130401,171937,,,187-0032,,13,JP,,1,TRUE,0.002083333,0
A1829581343445880,20130401,173025,,,CR0 6NU,,SRY,GB,,990,FALSE,129.2506944,1
A1829581343445880,20130401,173319,,,CR0 6NU,,SRY,GB,,990,FALSE,375.3048611,1
A1829581660685390,20130401,174054,,,GU27 2HZ,,,GB,,3,FALSE,2.938888889,0
A1055520789701150,20130401,175500,,,B80 7LP,,,GB,,4,FALSE,3.115972222,0
A844427139537867,20130401,180503,,,V8P 2L5,,BC,CA,,1,FALSE,0.000694444,0
A364147511364696,20130401,180937,,,N3C1X9,,ON,CA,,1,FALSE,0.000694444,0
A985156471432460,20130401,180949,,,V6A 2E4,,BC,CA,,1,FALSE,0,0
A985156980892859,20130401,181912,,,K1Y1H1,,ON,CA,,1,FALSE,0,0
A985156980904665,20130401,181959,,,75017,,,FR,,1,FALSE,0,0
A1759221042511750,20130401,182705,,,104 45,,���???,GR,,513,FALSE,147.2604167,0
A1759221009849860,20130401,182117,,,8663,,,NO,,1,FALSE,0,0
